intent
abusive_relationship_dilemma
academic_failure
academic_workload
anger_irritability
appetite_changes
auditory_hallucinations
bipolar_disorder
body_image_insecurities
bot_capabilities
bot_identity
boundary_setting_issues
bullying_harassment
child_health_concern
childcare_behavior_issue
chronic_illness
coming_out_dilemma
communication_conflict
compulsive_behavior_issue
concentration_focus
condition_clarification
counselor_skills_inquiry
crisis_abuse_trauma
crisis_self_harm
crisis_suicide_ideation
culture_shock
dating_advice
dissociative_amnesia
eating_disorder
emotional_dysregulation
emotional_numbness
empathy_distress
ethical_legal_inquiry
event_planning_stress
exam_anxiety
existential_anxiety
family_conflict
family_intervention_inquiry
family_loss_grief
family_pressure
fatigue_burnout
financial_stress
friend_loss_grief
friendship_conflict
future_career_anxiety
gender_dysphoria_distress
gender_expression
gender_identity_questioning
gender_transition_inquiry
general_anxiety
general_stress
guilt_remorse
health_medical_anxiety
hearing_voices
housing_accommodation
identity_disturbance
imposter_syndrome
infidelity
inner_turmoil
intrusive_thoughts
involuntary_commitment
lack_of_motivation
learning_disability
lecturer_conflict
legal_advice_seeking
life_management_stress
logistical_crisis
loneliness_isolation
low_self_esteem
marital_conflict
neurodivergence_adhd
panic_attack
paranoia_trust_issues
parental_attachment_concern
parenthood_decision_dilemma
parenting_dilemma
partner_negative_influence
peer_pressure
professional_background_inquiry
ptsd
reality_distortion
rebellious_behavior
reconnection_dilemma
relationship_anxiety
relationship_conflict
relationship_dependency
relationship_ending_dilemma
relationship_heartbreak
relationship_inquiry
relationship_intimacy_concern
relationship_intimacy_issues
romantic_crush
romantic_interest_stress
sadness_depression
seeking_coping_advice
seeking_counseling
seeking_help_for_other
seeking_normalization
seeking_validation
sexual_addiction
sexual_intimacy_issues
sexuality_gender_expression
sexuality_identity_confusion
sexuality_inquiry
sharing_treatment_info
sleep_insomnia
social_anxiety
social_media_phone_addiction
spiritual_religious_guilt
substance_abuse_addiction
therapist_background_inquiry
therapist_misconduct
therapy_boundaries
therapy_effectiveness_doubt
therapy_inquiry
therapy_process_inquiry
third_party_concern
understanding_symptoms
unplanned_pregnancy_scare
user_appreciation
user_frustration
violent_urges
workplace_stress
